No.	Category	Question	Answer
1	RSVP and Attendance	How do I RSVP?	We kindly request that you RSVP by completing the form on our website, found on the 'RSVP form' page. If you encounter any issues, please RSVP via email at mandswedding26@gmail.com.
2	RSVP and Attendance	What date should I RSVP by?	Kindly RSVP by September 30, 2025. If we do not receive your RSVP by this date, we will send reminders to ensure we have your response.
3	RSVP and Attendance	What do I do if I can’t make it?	We're sorry you won't be able to join us on our special day. If you can't make it, please let us know as soon as possible by RSVPing 'No' through the form on our website [link]. This helps us finalise our guest list and plan accordingly. If you have any questions or need assistance, feel free to reach out to us at mandswedding26@gmail.com. We appreciate your understanding and hope to celebrate with you another time!
4	RSVP and Attendance	Can I change my RSVP after the deadline?	We understand that plans can change. If you need to update your RSVP after the deadline, please contact us directly as soon as possible at mandswedding26@gmail.com before February 15, 2026, to give us the time to make other arrangements with the venue. Thank you for your understanding. 
5	RSVP and Attendance	Can I update my RSVP?	We understand that sometimes plans change. If you need to update your RSVP, please contact us as soon as possible at mandswedding26@gmail.com. We'll do our best to accommodate your request, but please note that changes will not be possible after February 15, 2026. Thank you for your understanding.
6	Venue and Logistics	What are the addresses of the wedding ceremony and reception venues?	The wedding ceremony will be held at the Church of St Mary the Virgin, followed by the reception at the 400-year-old Stately Home ''Goldsborough Hall''. Both venues are only a 2-minute walk from eachother.  Address for the wedding ceremony venue  Church of St Mary the Virgin, The Rectory, High Bond End, Knaresborough HG5 9BT Co-ordinates: 53.999604424235066, -1.4150615314597783 Google maps link: St Mary the Virgin  Address for the wedding reception venue Goldsborough Hall Church St, Goldsborough, Knaresborough HG5 8NR Co-ordinates: 53.99918189922606, -1.4163275340901964 Google maps link: Goldsborough Hall
7	Venue and Logistics	Is there parking available near your venue(s)?	Parking for the church and reception: Goldsborough Hall car park* Church Street, Goldsborough, HG5 8NR Co-ordinates: 53.999806, -1.416930 Google maps link: Goldsborough Hall  *Notes: - There is a free marshalled car park on site. - For more information on EV charging facilities, please visit: https://www.goldsboroughhall.com/electric-car-charging - Directions: Exit the A1(M) at junction 47 and follow the A59 west towards Knaresborough and Harrogate. Take the second left onto Station Road after approximately 1 mile, signposted Goldsborough and follow that road into the village. At the T junction opposite the Bay Horse Inn, turn left onto Church Street. Follow signs to 'Car Park'
8	Venue and Logistics	What is the history of the Church of St Mary the Virgin and Goldsborough Hall?	St. Mary's Church in Goldsborough is a Grade I listed building with origins tracing back to the 12th century. King George V and Queen Mary have had their grandchildren baptised in this church.  Adjacent to the church is Goldsborough Hall which is a 16th-century historic house in North Yorkshire. Documented in the Domesday Survey of 1086, this stately home was the former home of Princess Mary, the aunt of the Queen Elizabeth II. The hall, with its rich history and splendid architecture, stands as a testament to the elegance of its era.
9	Venue and Logistics	Are the venues indoors or outdoors?	Both venues are indoors. However, weather permitting, you may have the opportunity to explore the grounds.
10	Venue and Logistics	Is the ceremony/reception wheelchair accessible?	Yes, both venues are wheelchair accessible.
11	Venue and Logistics	What taxi companies operate in the area?	We kindly ask you to make your own transportation arrangements when you're ready to end the night. To ensure a smooth experience, please book any required taxi services in advance. Here are some taxi companies you may consider:  103 Harrogate Taxi Website: https://103harrogatetaxi.wixsite.com/harrogatetaxi Phone: 07835155044  Harrogate Taxis Website: https://taxiharrogate.co.uk/book-a-taxi/ Phone: 01423594949  Freedom Taxis Website: https://www.freedomtaxis.co.uk/ Phone: 01423595959   
13	Venue and Logistics	Is smoking allowed at the venue?	We kindly request that guests refrain from smoking or vaping at any of the venues. Thank you for your understanding and cooperation.
15	Dress Code and Attire	What is the dress code for your wedding?	To honor our English and Indian roots, the daytime celebrations will feature a traditional English dress code, while the evening function will feature an optional Indian dress code.  English dress code (Day time) The dress code is formal, and the ceremony will be held in a consecrated church, where modesty is expected. Example for men include light or dark-coloured suits, with or without a tie.  Example for women include elegant cocktail dresses (knee-length or midi-length), trouser suits, skirt-and-blouse combinations, or dressy jumpsuits.   Indian dress code (Evening - optional) For those who wish to change to Indian attire in the evening, changing facilities will be provided at the venue. For any queries on this, please contact Sam or Mary directly. We would be happy to recommend potential stores where you can find Indian attire.  Example of Indian attire for men include kurtas, which can be coordinated with your daytime suit trousers or swapped for more comfortable trousers/chinos. For women, you could consider a lehenga choli, anakali suit or a salwar kameez. Alternatively, some boutiques offer Indo-western dresses that you re-use for other occasions.
